Price,Bedrooms,Space,Room,Lot,Tax,Bathroom,Garage,Condition
313000,3,1340,1,7912,1.5,3,0,3
2384000,5,3650,3,9050,2,5,4,5
342000,3,1930,4,11947,1,3,0,4
420000,3,2000,2,8030,1,3,0,4
550000,4,1940,5,10500,1,4,0,4
490000,2,880,2,6380,1,2,0,3
335000,2,1350,4,2560,1,2,0,3
482000,4,2710,5,35868,2,4,0,3
452500,3,2430,6,88426,1,3,0,4
640000,4,1520,7,6200,1.5,4,0,3
463000,3,1710,2,7320,1,3,0,3
1400000,4,2920,6,4000,1.5,4,0,5
588500,3,2330,8,14892,1,3,0,3
365000,3,1090,9,6435,1,3,0,4
1200000,5,2910,2,9480,1.5,5,0,3
242500,3,1200,4,9720,1,3,0,4
419000,3,1570,5,6700,1,3,0,4
367500,4,3110,3,7231,2,4,0,3
257950,3,1370,1,5858,1,3,0,3
275000,3,1180,3,10277,1,3,0,3
750000,3,2240,4,10578,2,3,0,5
435000,4,1450,2,8800,1,4,0,4
626000,3,1750,5,1572,2.5,3,0,3
612500,4,2730,2,12261,2,4,0,3
495000,4,1600,4,6380,1,4,0,3
285000,3,2090,5,10834,1,3,0,4
615000,3,2360,6,7291,1,3,0,4
698000,4,2200,7,11250,1.5,4,0,5
675000,5,2820,2,67518,2,5,0,3
790000,3,2600,6,4750,1,3,0,4
382500,4,1560,8,8700,1,4,0,4
499950,4,2860,9,3345,2,4,0,3
650000,4,1820,2,5000,1.5,4,1,3
625000,4,2820,4,8408,2,4,0,3
400000,4,3630,5,42884,1.5,4,0,3
604000,3,3240,3,33151,2,3,2,3
440000,2,800,1,4850,1,2,0,4
287200,3,1850,3,19966,1,3,0,4
403000,3,1960,4,13100,1,3,2,5
750000,3,2390,2,6550,1,3,2,4
335000,3,1580,5,16215,1,3,0,4
260000,4,1480,2,8625,1,4,0,4
308500,2,850,4,6174,1,2,0,4
439950,3,1770,5,2875,2,3,0,3
235000,2,1210,6,9400,1,2,0,2
315000,3,1160,7,9180,1,3,0,3
437500,3,1970,2,35100,2,3,0,4
407500,3,1930,6,10460,2,3,0,3
445700,3,1270,8,1180,3,3,0,3
838000,4,3310,9,42998,2,4,0,3
630000,4,2710,2,37277,2,4,0,3
550000,3,2910,4,35200,1.5,3,0,3
805000,3,2710,5,4500,1.5,3,0,4
284000,3,1800,3,23103,1,3,0,3
470000,5,2210,1,9655,1,5,0,3
430000,4,1920,3,10000,1,4,0,4
491500,4,2190,4,125452,1,4,2,3
785000,5,3660,2,11995,2,5,2,3
385000,3,1320,5,1327,2,3,0,3
295000,2,1630,2,1368,2,2,0,3
555000,4,3310,4,6500,2,4,0,3
459990,3,2680,5,5539,2,3,0,3
625000,4,2730,6,54014,1,4,0,3
300000,3,2540,7,5050,2,3,0,3
625000,4,2920,2,6605,2,4,0,3
553000,2,900,6,5000,1,2,0,3
379880,3,1650,8,14054,1,3,0,4
310000,3,1010,9,9945,1,3,0,4
775000,2,2680,2,7392,1,2,0,3
365000,3,2200,4,7350,1,3,0,5
331950,4,2530,5,9933,2,4,2,3
783500,3,2850,3,7130,2,3,0,3
628000,4,2280,1,6010,1,4,0,3
560000,3,1900,3,8744,2,3,0,3
900000,3,1330,4,77972,1,3,0,3
531000,2,1270,2,1175,2,2,0,3
831000,4,2170,5,4000,2,4,0,4
780000,4,2730,2,10281,2,4,2,3
755000,4,2120,4,10202,1,4,0,4
